NODE min_life

30.000000 1116.000000
6598.000000 3224.000000
6610.000000 1587.000000
6613.000000 3017.000000
6614.000000 1793.000000
6615.000000 1220.000000
6910.000000 2902.000000
6920.000000 2731.000000
6925.000000 2786.000000
6930.000000 2657.000000
6935.000000 2893.000000
6940.000000 2714.000000
6950.000000 2719.000000
6960.000000 2413.000000
6970.000000 2358.000000
6975.000000 2452.000000
6976.000000 3228.000000
6980.000000 2425.000000
6981.000000 3198.000000
6986.000000 2977.000000
6991.000000 2893.000000
6995.000000 2198.000000
6996.000000 2729.000000
7000.000000 2088.000000
7001.000000 2627.000000
7021.000000 2342.000000
7040.000000 1925.000000
7045.000000 1909.000000
7046.000000 2032.000000
7050.000000 1965.000000
7055.000000 1888.000000
7056.000000 2002.000000
7057.000000 2896.000000
7060.000000 1879.000000
7061.000000 1916.000000
7062.000000 2822.000000
7065.000000 1868.000000
7066.000000 2069.000000
7067.000000 2781.000000
7070.000000 1998.000000
7075.000000 2025.000000
7076.000000 2182.000000
7077.000000 2591.000000
7082.000000 2849.000000
7085.000000 1874.000000
7086.000000 2377.000000
7091.000000 2380.000000
7092.000000 2872.000000
7097.000000 2648.000000
7102.000000 2907.000000
7106.000000 2489.000000
7111.000000 2610.000000
7289.000000 2002.000000
7294.000000 1933.000000
7299.000000 1967.000000
7304.000000 1905.000000
7309.000000 1789.000000
7314.000000 1791.000000
7380.000000 2703.000000
7381.000000 2592.000000
7382.000000 2713.000000
7384.000000 2698.000000
7388.000000 3013.000000
7443.000000 1081.000000
7444.000000 1087.000000
7445.000000 1034.000000
7446.000000 1156.000000
7447.000000 1221.000000
7448.000000 1267.000000
7450.000000 1483.000000
